Seance;Juge;Rang;Produit;IntensiteCouleur;IntensiteOlfactive;IntensiteDAttaque;Sucre;Acide;Amer;AromeOrange;AromeBanane;AromeMangue;AromeCitron;PersistanceGout;Pulpeux;Epaisseur
1;7;4;Ocb_;8;2;7;6;8;6;2;1;7;3;8;1;6
1;7;5;Bo;3;8;7;8;4;2;2;9;1;2;4;1;7
1;7;6;OCm;4;8;7;5;8;5;4;1;8;2;6;1;6
1;7;7;Mb;2;3;7;8;4;3;1;4;3;7;3;1;8
1;7;8;obmc2;4;2;4;4;7;4;4;2;3;4;3;1;6
1;7;9;Om_;7;7;2;6;7;6;7;1;3;4;6;1;5
1;7;10;Bmc_;8;8;2;8;5;5;5;8;2;7;4;1;9
1;7;11;Moc_;8;6;6;7;9;6;2;2;7;;8;1;7
1;7;12;obmc_;7;2;5;7;7;4;4;2;7;7;4;1;6
1;7;13;obmc1;4;1;3;7;6;5;4;2;5;3;5;1;6
1;7;14;Bco_;9;3;4;6;9;6;3;2;8;8;4;1;7
1;7;15;obm_;9;4;3;8;3;2;3;1;2;10;7;2;8
1;7;16;BCm;2;4;6;9;8;7;2;8;5;2;7;1;8
1;8;1;MCb_;8;8;7;7;8;1;1;1;10;10;9;1;8
1;8;2;Ocb_;8;7;7;7;8;1;7;1;9;9;7;1;5
1;8;3;MCo;4;8;10;8;10;1;1;1;10;9;7;1;6
1;8;4;OCm;4;6;8;8;9;1;9;1;10;1;9;1;4
1;8;5;Obc;2;;8;7;8;1;3;8;9;1;6;1;3
1;8;6;obmc2;1;;7;7;7;1;2;1;7;8;7;2;6
1;8;7;Bo;1;7;8;7;6;1;5;8;1;2;6;2;5
1;8;8;Bmc_;8;6;8;8;6;1;4;6;1;8;7;2;6
1;8;9;Mb;2;;8;8;7;1;4;2;1;9;8;2;4
1;8;10;obmc_;10;5;9;7;9;1;4;1;7;5;8;1;5
1;8;11;Om_;8;4;8;7;8;1;9;1;2;3;8;1;4
1;8;12;Bco_;10;;8;7;10;1;1;4;10;2;;2;5
1;8;13;Moc_;9;;8;7;10;1;2;1;7;8;9;2;4
1;8;14;BCm;1;6;9;8;7;1;4;10;2;3;8;2;6
1;8;15;obmc1;3;4;8;7;8;1;7;1;3;3;7;2;4
1;8;16;obm_;9;5;8;7;5;1;5;5;2;5;9;2;4
1;9;1;obmc1;4;8;8;8;3;1;5;2;1;9;8;1;5
1;9;2;Moc_;8;4;4;8;6;1;8;5;3;1;5;1;8
1;9;3;obm_;8;4;8;8;2;1;3;9;1;4;7;1;9
1;9;4;Om_;10;3;6;3;8;2;5;1;8;6;8;1;5
1;9;5;BCm;2;9;10;8;1;1;1;10;2;8;7;1;9
1;9;6;Mb;4;3;7;8;3;1;5;4;2;10;9;1;9
1;9;7;Bco_;7;3;10;2;10;1;3;4;10;1;6;1;6
1;9;8;Bo;5;6;8;5;2;1;7;7;1;3;6;1;9
1;9;9;obmc_;8;8;9;8;8;1;7;2;4;5;8;1;6
1;9;10;Obc;5;8;10;4;7;1;8;1;5;2;8;1;2
1;9;11;Bmc_;8;8;9;9;2;1;4;10;1;7;3;1;9
1;9;12;MCo;3;2;10;1;10;1;8;5;10;1;6;1;3
1;9;13;obmc2;5;8;5;6;7;1;5;8;7;1;7;7;5
1;9;14;MCb_;9;9;10;7;10;1;5;1;10;7;6;1;8
1;9;15;OCm;4;8;8;3;8;1;10;1;8;1;7;1;1
1;9;16;Ocb_;8;7;10;3;10;1;7;1;7;4;7;1;4
1;10;1;Om_;8;2;4;7;2;1;2;1;1;10;7;;8
1;10;2;Mb;3;6;4;4;1;1;1;8;1;3;8;3;6
1;10;3;Moc_;9;5;8;2;8;2;5;1;2;6;9;2;6
1;10;4;Bo;3;7;5;6;1;1;1;9;1;1;6;2;7
1;10;5;obmc1;4;4;4;4;5;1;3;4;2;1;5;2;4
1;10;6;Obc;4;3;4;3;4;2;3;1;1;2;3;2;3
1;10;7;obm_;9;8;6;7;1;1;1;1;1;10;4;4;6
1;10;8;MCo;4;4;9;2;10;1;5;1;8;3;9;2;2
1;10;9;BCm;2;4;4;5;2;1;3;8;1;1;4;4;6
1;10;10;MCb_;9;4;7;3;7;1;3;1;2;8;8;2;3
1;10;11;Bco_;9;3;4;3;6;2;6;1;2;3;4;5;5
1;10;12;Ocb_;8;3;9;2;8;1;9;1;8;1;5;2;2
1;10;13;obmc_;9;4;5;5;1;1;3;1;1;6;3;4;3
1;10;14;OCm;4;2;9;2;9;2;4;1;3;1;6;2;3
1;10;15;Bmc_;9;8;5;7;1;2;1;3;1;8;8;5;5
1;10;16;obmc2;3;3;4;4;3;3;5;3;2;1;6;4;3
1;11;1;Bco_;8;9;3;5;9;2;3;7;9;1;6;1;5
1;11;2;BCm;4;4;4;7;5;1;5;3;2;8;6;1;6
1;11;3;obmc_;8;3;;;;;5;1;2;9;8;1;6
1;11;4;obm_;8;7;6;8;6;2;4;6;2;9;6;2;6
1;11;5;Bmc_;8;2;5;9;5;1;2;9;1;6;9;2;5
1;11;6;obmc1;3;4;6;4;6;;8;1;8;2;7;1;4
1;11;7;obmc2;3;2;5;7;3;2;7;2;7;3;4;1;3
1;11;8;Moc_;9;7;6;8;4;1;2;1;3;8;4;1;6
1;11;9;OCm;3;3;6;3;8;5;5;1;8;1;8;1;2
1;11;10;Om_;8;2;6;9;2;1;2;4;2;9;5;1;5
1;11;11;Ocb_;9;9;;;9;;2;3;10;1;8;1;2
1;11;12;Mb;3;7;8;10;2;1;1;5;1;10;6;1;8
1;11;13;MCb_;8;2;7;6;9;1;4;1;9;5;8;1;5
1;11;14;Bo;3;8;8;10;3;1;1;10;2;1;9;1;8
1;11;15;MCo;4;5;7;5;7;1;4;1;6;8;;1;5
1;11;16;Obc;3;2;3;5;6;2;5;7;4;2;7;1;5
1;12;1;Bo;4;8;7;7;5;2;4;9;1;6;8;7;9
1;12;2;Obc;5;8;6;4;8;3;8;4;7;2;7;5;5
1;12;3;Mb;5;5;6;7;4;3;4;6;3;8;5;5;8
1;12;4;MCo;6;5;6;2;9;4;5;3;9;5;5;3;3
1;12;5;Om_;7;4;6;5;6;4;7;3;6;7;6;4;3
1;12;6;MCb_;7;3;4;4;8;5;5;6;7;4;7;5;7
1;12;7;Moc_;8;4;5;4;7;7;6;3;6;6;7;6;5
1;12;8;Ocb_;6;4;4;5;8;7;6;4;7;5;8;4;5
1;12;9;obmc1;5;6;4;6;6;3;6;6;5;4;4;6;6
1;12;10;OCm;5;4;4;4;7;4;8;3;6;3;6;3;3
1;12;11;obm_;7;7;5;7;5;3;7;8;5;3;4;6;7
1;12;12;obmc2;5;4;4;7;3;5;5;8;2;5;4;6;6
1;12;13;BCm;3;5;7;7;6;5;4;8;7;5;5;7;7
1;12;14;Bmc_;7;2;5;8;3;3;4;9;1;8;5;7;9
1;12;15;Bco_;7;3;6;6;6;4;4;5;8;6;6;8;7
1;12;16;obmc_;8;5;4;5;6;4;7;5;5;6;4;8;7
2;1;1;Om_;7;3;7;5;8;4;7;1;7;2;7;1;4
2;1;2;obmc1;7;2;7;4;6;2;7;4;1;4;9;1;6
2;1;3;Mb;3;3;5;8;4;1;2;9;3;1;4;1;9
2;1;4;OCm;4;6;8;4;8;2;5;1;1;9;8;1;5
2;1;5;Bmc_;5;8;3;10;1;1;3;10;3;1;4;1;9
2;1;6;MCb_;6;5;9;4;8;2;3;3;5;8;8;1;6
2;1;7;Ocb_;6;;10;3;10;3;7;1;1;9;10;1;6
2;1;8;Bo;4;7;3;9;2;1;8;9;2;1;5;1;7
2;1;9;Bco_;6;7;7;4;7;2;8;1;2;5;5;1;9
2;1;10;obm_;6;3;7;5;6;1;6;1;9;3;10;1;7
2;1;11;obmc_;7;7;;6;1;9;8;6;1;7;5;1;8
2;1;12;obmc2;2;9;7;6;6;1;7;1;7;3;9;1;6
2;1;13;MCo;4;6;7;5;10;2;8;1;3;5;7;1;7
2;1;14;Obc;4;9;7;5;8;1;;7;3;7;9;1;8
2;1;15;Moc_;9;9;9;9;8;1;6;1;3;2;9;1;5
2;1;16;BCm;1;6;7;9;3;1;2;8;5;2;4;1;10
2;2;1;OCm;2;4;9;3;10;3;9;1;2;9;6;1;2
2;2;2;MCb_;7;4;7;8;4;2;5;7;9;2;7;2;6
2;2;3;obmc1;2;2;6;8;3;3;7;5;3;3;;2;5
2;2;4;Bo;4;3;4;5;5;2;6;8;2;2;3;1;4
2;2;5;Om_;7;4;4;4;4;2;7;1;4;2;3;1;2
2;2;6;obm_;7;2;;8;1;1;7;5;2;6;6;2;6
2;2;7;Mb;2;5;7;8;3;3;1;6;9;1;8;2;7
2;2;8;obmc2;2;2;8;5;8;3;7;2;2;8;6;2;6
2;2;9;Bmc_;8;2;6;8;1;1;5;8;7;;7;2;8
2;2;10;Obc;3;3;9;2;8;2;9;1;1;7;5;1;4
2;2;11;Ocb_;8;4;9;3;10;3;6;2;2;10;4;1;3
2;2;12;BCm;2;5;4;8;2;2;2;7;9;1;8;2;8
2;2;13;Bco_;7;5;6;4;3;2;3;5;5;8;4;2;6
2;2;14;Moc_;8;6;7;6;6;1;5;8;8;2;8;3;8
2;2;15;obmc_;8;5;7;8;3;2;7;2;8;1;7;1;3
2;2;16;MCo;2;7;8;3;8;2;6;1;3;9;5;2;2
2;3;1;MCo;4;6;6;8;7;2;8;1;6;5;5;2;4
2;3;2;obmc_;8;4;3;8;5;2;4;7;5;1;6;5;7
2;3;3;Moc_;8;5;3;8;6;3;5;7;2;8;6;2;5
2;3;4;Bco_;6;4;5;6;7;2;1;8;7;4;6;3;8
2;3;5;BCm;2;8;4;6;7;2;1;9;1;7;4;2;9
2;3;6;Ocb_;5;6;7;7;8;4;6;1;6;8;5;2;6
2;3;7;Obc;4;3;8;8;6;2;7;5;1;3;4;1;6
2;3;8;Bmc_;6;8;3;6;2;2;2;8;9;1;4;1;10
2;3;9;obmc2;3;;6;8;9;3;8;4;2;1;8;2;5
2;3;10;Mb;3;4;6;7;7;2;4;7;1;1;6;1;7
2;3;11;obm_;6;4;5;7;6;2;6;2;7;1;6;1;6
2;3;12;Om_;8;5;5;8;8;1;7;2;9;3;6;1;4
2;3;13;Bo;2;5;2;7;4;2;5;9;2;1;5;1;7
2;3;14;obmc1;4;6;7;9;7;2;6;3;1;8;6;4;4
2;3;15;MCb_;8;5;7;8;9;1;4;2;6;8;6;3;6
2;3;16;OCm;5;7;7;8;9;2;10;1;1;3;7;1;2
2;4;1;Ocb_;8;5;6;4;7;1;8;2;1;5;3;2;2
2;4;2;Bmc_;9;5;5;8;1;1;5;9;1;1;5;3;4
2;4;3;Bco_;9;4;7;3;8;1;2;8;2;;6;3;4
2;4;4;Mb;3;6;4;8;2;1;4;1;9;1;4;3;4
2;4;5;obmc_;9;5;4;;2;1;7;1;3;2;4;2;3
2;4;6;Om_;9;4;4;6;1;1;8;2;1;1;4;2;2
2;4;7;MCo;3;6;7;5;1;1;4;1;2;7;4;2;2
2;4;8;obmc1;2;4;4;6;1;1;5;9;1;1;2;2;2
2;4;9;Moc_;9;5;2;8;1;1;4;1;1;7;4;3;3
2;4;10;OCm;3;6;7;3;7;1;8;1;1;6;5;2;2
2;4;11;BCm;1;4;4;9;1;1;3;10;1;1;6;4;6
2;4;12;MCb_;10;3;4;5;2;1;3;1;4;2;5;2;2
2;4;13;Obc;2;3;3;4;2;1;7;1;1;2;4;2;2
2;4;14;Bo;1;4;4;9;1;1;6;9;1;1;3;3;3
2;4;15;obmc2;3;5;2;5;2;1;7;1;6;2;3;2;2
2;4;16;obm_;10;3;6;9;1;1;4;8;7;1;4;3;5
2;5;1;obmc1;5;6;4;4;6;1;7;2;4;3;5;2;3
2;5;2;OCm;6;4;4;2;9;1;8;1;1;8;3;2;3
2;5;3;Om_;8;3;6;4;6;2;9;1;3;3;5;;
2;5;4;MCb_;7;7;8;7;8;2;5;1;7;4;;2;4
2;5;5;Mb;5;7;5;7;2;1;1;3;9;1;;2;6
2;5;6;Bo;5;6;7;7;1;1;4;9;1;1;7;2;4
2;5;7;Bmc_;8;8;4;8;1;1;4;1;8;1;6;2;7
2;5;8;obm_;8;5;5;4;3;;8;1;5;2;5;2;4
2;5;9;Ocb_;8;4;7;3;9;1;5;1;5;9;4;3;4
2;5;10;obmc2;4;6;7;6;5;2;5;3;9;5;6;2;4
2;5;11;Bco_;9;8;8;5;7;1;1;5;8;7;5;2;4
2;5;12;Obc;6;3;5;3;5;2;8;1;2;2;4;1;2
2;5;13;obmc_;9;6;7;4;5;2;5;4;3;4;;1;3
2;5;14;BCm;4;6;7;6;5;2;1;4;10;3;6;2;6
2;5;15;MCo;5;4;6;;7;;7;1;4;8;5;1;4
2;5;16;Moc_;9;4;4;4;5;1;4;1;8;4;5;1;4
2;6;1;Bco_;7;8;4;7;9;2;7;5;1;5;6;1;6
2;6;2;Ocb_;9;2;4;4;7;2;9;1;4;2;6;1;2
2;6;3;obmc_;10;6;6;8;7;1;8;1;9;2;9;1;7
2;6;4;Bmc_;9;7;5;9;6;1;1;10;4;3;9;2;7
2;6;5;MCo;2;5;7;3;8;1;7;1;3;4;6;1;3
2;6;6;Mb;2;8;6;9;2;1;4;1;10;1;6;1;5
2;6;7;Moc_;10;10;8;5;10;1;8;2;10;4;10;1;5
2;6;8;Om_;9;3;6;7;8;1;7;1;8;5;6;1;2
2;6;9;BCm;1;10;8;10;7;1;4;8;10;1;8;1;8
2;6;10;obmc1;3;5;5;7;7;1;6;2;2;4;6;1;6
2;6;11;Obc;2;8;3;7;9;1;8;3;1;4;6;1;4
2;6;12;OCm;2;6;4;6;9;1;6;1;6;5;3;1;3
2;6;13;obmc2;2;5;6;8;7;1;8;4;1;2;7;1;5
2;6;14;MCb_;9;7;4;9;8;2;6;1;6;3;3;1;1
2;6;15;obm_;8;3;6;9;4;1;5;7;7;2;9;1;6
2;6;16;Bo;1;7;6;7;7;1;8;8;2;1;8;1;4
2;7;1;Obc;4;4;8;4;8;6;10;1;4;4;5;1;3
2;7;2;BCm;1;5;6;7;3;3;3;8;2;1;3;1;6
2;7;3;obmc2;3;4;8;5;8;5;8;2;3;3;7;1;3
2;7;4;Moc_;6;3;5;6;5;5;5;1;3;7;5;1;4
2;7;5;obm_;7;3;3;7;4;2;3;6;1;8;5;1;6
2;7;6;MCo;4;5;9;5;6;7;4;1;1;10;1;1;5
2;7;7;Bo;2;3;4;5;5;5;2;8;1;3;2;1;6
2;7;8;obmc_;8;3;7;6;8;4;3;2;9;6;5;1;6
2;7;9;MCb_;9;2;8;7;9;7;3;2;7;7;4;1;6
2;7;10;Bco_;7;4;7;6;6;6;3;5;7;7;6;1;6
2;7;11;OCm;3;6;8;4;8;6;9;1;1;5;7;1;4
2;7;12;Ocb_;8;3;7;6;7;5;5;2;5;5;6;1;3
2;7;13;obmc1;3;4;6;6;7;7;3;7;2;4;5;1;4
2;7;14;Bmc_;6;4;6;7;2;3;1;8;7;1;3;1;6
2;7;15;Om_;7;6;6;5;6;6;8;1;3;1;4;1;5
2;7;16;Mb;4;3;4;7;4;2;2;6;1;3;4;1;7
2;8;1;Bo;1;6;7;8;6;1;5;1;7;2;6;1;4
2;8;2;obm_;9;6;7;8;6;1;3;1;7;1;8;1;5
2;8;3;MCb_;9;6;9;8;10;1;1;1;6;10;8;2;5
2;8;4;obmc2;2;5;7;8;8;1;8;1;2;6;9;1;6
2;8;5;OCm;2;6;10;8;10;1;8;1;1;10;9;1;4
2;8;6;Bco_;10;7;9;8;7;1;1;6;4;8;9;2;5
2;8;7;obmc1;1;5;8;8;7;1;4;1;5;6;8;1;2
2;8;8;BCm;2;6;9;9;6;1;5;7;6;2;9;3;5
2;8;9;Om_;9;7;8;8;6;1;7;3;6;1;8;1;5
2;8;10;Moc_;10;5;9;8;9;1;3;1;7;5;9;1;3
2;8;11;Mb;2;6;9;9;6;1;1;8;5;3;9;2;5
2;8;12;MCo;2;5;9;8;9;1;6;1;1;8;9;;
2;8;13;Bmc_;9;6;9;9;4;1;1;9;3;1;;2;6
2;8;14;obmc_;10;7;9;8;7;1;8;1;2;4;9;2;3
2;8;15;Ocb_;9;5;9;8;8;1;5;1;1;6;9;2;3
2;8;16;Obc;2;4;8;8;7;1;9;1;1;1;7;2;5
2;9;1;BCm;2;9;8;7;3;1;4;8;1;2;6;1;9
2;9;2;Moc_;9;3;10;4;4;1;8;2;2;5;7;1;6
2;9;3;Obc;4;;6;4;6;1;8;1;2;5;7;1;2
2;9;4;MCo;3;4;9;7;7;1;5;7;1;7;8;1;4
2;9;5;obmc2;4;3;8;7;2;1;6;8;3;1;6;1;3
2;9;6;obmc_;8;8;9;7;3;1;6;1;4;3;7;1;4
2;9;7;obm_;10;9;10;10;2;1;7;4;4;1;8;1;6
2;9;8;Bco_;8;4;10;5;6;1;8;4;2;4;8;1;5
2;9;9;Bo;2;3;8;6;1;1;5;10;3;1;4;1;7
2;9;10;Ocb_;8;3;10;2;10;1;8;1;1;9;9;1;2
2;9;11;MCb_;7;8;9;7;8;1;5;2;8;4;;1;7
2;9;12;Bmc_;7;6;8;7;1;1;4;10;1;1;4;1;8
2;9;13;OCm;3;8;10;2;10;1;9;1;1;9;8;1;3
2;9;14;Mb;2;9;6;9;1;1;3;3;10;1;5;1;7
2;9;15;obmc1;3;8;6;4;4;1;8;1;3;4;7;6;3
2;9;16;Om_;10;9;5;4;1;1;8;3;2;1;6;1;5
2;10;1;obmc_;9;6;5;6;2;1;2;1;8;1;5;3;5
2;10;2;Bco_;8;4;8;;7;2;4;1;6;3;6;3;4
2;10;3;MCo;3;3;6;2;7;1;7;1;1;2;6;2;2
2;10;4;Ocb_;8;3;7;2;8;1;6;1;2;3;8;2;3
2;10;5;Moc_;8;5;5;5;2;1;3;1;6;1;6;4;3
2;10;6;Bmc_;8;6;4;8;1;1;1;4;7;1;3;4;7
2;10;7;BCm;3;3;8;3;5;1;4;3;2;1;;4;4
2;10;8;Mb;4;3;5;6;2;1;3;5;1;1;;4;4
2;10;9;Obc;3;2;5;2;4;1;4;1;3;2;5;2;4
2;10;10;Om_;7;7;5;6;3;1;3;1;5;1;6;;
2;10;11;obmc2;3;2;8;3;6;1;3;2;4;1;5;2;5
2;10;12;obmc1;2;2;7;3;6;1;4;2;3;1;6;4;2
2;10;13;obm_;8;4;5;5;2;1;1;1;8;1;;4;5
2;10;14;OCm;3;2;9;;9;1;3;1;1;4;8;2;2
2;10;15;Bo;4;6;6;6;1;2;1;8;1;1;5;2;6
2;10;16;MCb_;8;4;8;3;7;1;2;1;5;5;7;4;4
2;11;1;Mb;2;6;6;8;4;1;5;7;5;;6;1;6
2;11;2;Om_;8;6;7;;8;;2;1;7;8;6;1;4
2;11;3;Bmc_;7;8;;9;3;1;1;10;5;5;;1;6
2;11;4;obmc1;3;4;4;6;8;1;7;1;4;6;;1;3
2;11;5;Ocb_;8;3;7;5;9;2;6;1;1;9;7;1;3
2;11;6;OCm;4;2;;5;8;1;7;1;5;9;;1;2
2;11;7;Bco_;7;4;6;5;8;1;2;6;1;7;;1;6
2;11;8;MCb_;7;6;7;4;6;2;4;;8;9;;1;5
2;11;9;obmc_;6;5;;7;3;1;4;2;5;4;7;1;4
2;11;10;Bo;3;4;6;8;3;1;3;7;2;3;8;1;6
2;11;11;MCo;3;6;6;7;8;2;5;1;7;7;6;1;5
2;11;12;obm_;8;5;6;7;6;1;2;8;7;2;6;1;7
2;11;13;Moc_;8;6;5;6;6;1;1;1;8;7;7;;7
2;11;14;obmc2;3;2;6;8;5;1;2;7;4;6;7;1;5
2;11;15;BCm;3;7;6;8;6;1;1;10;1;6;;1;6
2;11;16;Obc;4;2;6;3;8;2;5;4;2;6;7;1;7
2;12;1;Moc_;8;5;6;5;7;2;7;2;5;6;5;3;3
2;12;2;MCo;4;3;5;5;8;4;7;2;2;8;5;3;3
2;12;3;BCm;2;6;6;6;6;3;6;8;3;5;6;5;6
2;12;4;obmc_;8;3;6;6;6;3;6;7;6;5;6;6;7
2;12;5;Obc;5;3;5;6;6;3;8;2;2;5;6;8;6
2;12;6;Bco_;6;6;6;4;7;4;5;6;5;8;6;5;7
2;12;7;obmc2;5;4;5;7;4;5;6;4;6;4;6;7;7
2;12;8;Ocb_;7;5;7;6;5;3;7;2;4;5;6;6;6
2;12;9;obm_;8;3;6;6;5;4;5;3;8;3;6;8;7
2;12;10;Bmc_;6;5;7;8;3;3;4;8;7;2;7;7;8
