Date;maxO3;heure;T6;T9;T12;T15;T18;Ne6;Ne9;Ne12;Ne15;Ne18;Vdir6;Vvit6;Vdir9;Vvit9;Vdir12;Vvit12;Vdir15;Vvit15;Vdir18;Vvit18;Vx6;Vx9;Vx12;Vx15;maxO3v;;;;;;;;;;;;;;
19950512;64.4;23;8;8.7;9.3;8;7.1;8;8;8;8;8;30;7;20;7;10;8;360;10;350;7;3.5;2.3941;1.3892;0;58.2;;;;;;;;;;;;;;
19950513;74;19;5;9.6;11.6;11.1;10.1;8;3;5;3;1;310;3;360;7;10;8;350;7;340;6;-2.2981;0;1.3892;-1.2155;64.4;;;;;;;;;;;;;;
19950514;85.6;15;2.4;11.2;14.1;15;13.5;1;3;3;4;5;0;0;160;2;210;2;130;2;100;2;0;0.684;-1;1.5321;74;;;;;;;;;;;;;;
19950515;77.2;12;6.2;12.2;14.8;15.4;14.6;7;6;7;7;7;100;2;130;4;100;5;130;4;170;3;1.9696;3.0642;4.924;3.0642;85.6;;;;;;;;;;;;;;
19950516;42.8;17;9.1;10.5;12.1;14.3;15.3;8;8;8;7;6;140;4;140;5;140;5;200;1;260;2;2.5712;3.2139;3.2139;-0.342;77.2;;;;;;;;;;;;;;
19950517;75;13;12.4;13.4;15.3;15.1;13.6;7;7;6;6;8;250;6;270;8;270;9;290;7;290;4;-5.6382;-8;-9;-6.5778;42.8;;;;;;;;;;;;;;
19950518;80;14;8;10.7;13.4;13.6;11.9;7;7;6;2;1;10;2;20;4;350;6;330;7;340;6;0.3473;1.3681;-1.0419;-3.5;75;;;;;;;;;;;;;;
19950519;70.4;12;5.3;11.6;13.9;14.2;13.8;1;3;4;7;4;290;2;290;3;350;2;330;3;340;4;-1.8794;-2.8191;-0.3473;-1.5;80;;;;;;;;;;;;;;
19950520;69;16;6.2;11.7;13.4;14.5;12.9;2;7;7;7;5;0;0;310;3;320;7;350;5;360;4;0;-2.2981;-4.4995;-0.8682;70.4;;;;;;;;;;;;;;
19950521;83.4;14;5.4;13.6;16.8;17.8;16.9;1;4;3;7;7;0;0;120;4;110;4;100;3;120;4;0;3.4641;3.7588;2.9544;69;;;;;;;;;;;;;;
19950522;94.2;14;9.6;16.5;20;20.9;19.9;7;6;6;6;7;100;2;110;4;110;5;100;6;120;5;1.9696;3.7588;4.6985;5.9088;83.4;;;;;;;;;;;;;;
19950523;91.8;18;12.3;18.3;23;24.7;22.2;4;4;3;2;5;90;2;140;2;150;4;210;6;200;6;2;1.2856;2;-3;94.2;;;;;;;;;;;;;;
19950524;62;1;14.2;14.1;16;17.4;17;8;8;8;7;3;180;4;160;3;210;8;230;6;230;5;0;1.0261;-4;-4.5963;91.8;;;;;;;;;;;;;;
19950525;59.8;14;10.9;15.6;19.7;20.1;17;2;6;5;4;3;140;1;210;4;230;6;220;6;240;4;0.6428;-2;-4.5963;-3.8567;62;;;;;;;;;;;;;;
19950526;62.4;14;10.9;16.4;18.6;19.6;17.5;6;6;7;7;7;140;1;180;6;210;5;220;6;210;5;0.6428;0;-2.5;-3.8567;59.8;;;;;;;;;;;;;;
19950527;60.2;16;13.9;17;21.6;21.7;19.6;5;7;5;4;6;190;3;210;5;210;7;230;7;230;7;-0.5209;-2.5;-3.5;-5.3623;62.4;;;;;;;;;;;;;;
19950528;64.2;15;15.7;19.8;21.4;21.7;19.2;6;6;7;6;3;170;4;200;6;220;6;240;6;260;6;0.6946;-2.0521;-3.8567;-5.1962;60.2;;;;;;;;;;;;;;
19950529;68.8;15;12.1;14.9;17.1;19;17;2;8;6;5;5;230;2;240;3;230;4;240;7;300;5;-1.5321;-2.5981;-3.0642;-6.0622;64.2;;;;;;;;;;;;;;
19950530;64.6;13;10.4;14.9;14.4;16;14.9;6;7;6;7;6;280;2;300;3;320;3;350;6;350;6;-1.9696;-2.5981;-1.9284;-1.0419;68.8;;;;;;;;;;;;;;
19950531;76.8;13;10.7;14.3;16.3;18;16.4;7;7;7;5;1;300;2;340;5;340;5;340;6;350;6;-1.7321;-1.7101;-1.7101;-2.0521;64.6;;;;;;;;;;;;;;
19950601;66;13;9;14;16.7;16;14.8;7;7;7;8;7;320;1;280;1;260;3;290;2;220;3;-0.6428;-0.9848;-2.9544;-1.8794;76.8;;;;;;;;;;;;;;
19950602;62.6;11;11.9;15.1;17.7;16.7;16.2;8;6;6;8;7;20;1;30;2;320;3;340;5;340;4;0.342;1;-1.9284;-1.7101;66;;;;;;;;;;;;;;
19950603;46.2;19;11.7;14;14.9;16.9;16.9;8;8;8;7;8;260;1;240;4;230;4;250;6;250;4;-0.9848;-3.4641;-3.0642;-5.6382;62.6;;;;;;;;;;;;;;
19950604;69.4;18;11.6;16;17.6;16.6;15.7;7;7;6;6;2;210;3;260;4;300;6;350;5;360;6;-1.5;-3.9392;-5.1962;-0.8682;46.2;;;;;;;;;;;;;;
19950605;72.2;15;8.6;13.9;16.3;16.6;16.3;3;6;6;6;2;290;2;360;4;350;4;10;4;10;5;-1.8794;0;-0.6946;0.6946;69.4;;;;;;;;;;;;;;
19950606;78.2;12;8.7;15.7;19.5;20.2;17.8;3;4;4;4;2;0;0;40;2;310;1;330;3;350;5;0;1.2856;-0.766;-1.5;72.2;;;;;;;;;;;;;;
19950607;45.2;20;11;15.9;17.6;19.5;17.6;8;7;7;7;7;240;1;260;1;340;3;320;2;10;5;-0.866;-0.9848;-1.0261;-1.2856;78.2;;;;;;;;;;;;;;
19950608;77.2;19;11.5;15;16.7;17.3;16;1;5;3;2;2;300;3;30;7;350;8;10;6;10;7;-2.5981;3.5;-1.3892;1.0419;45.2;;;;;;;;;;;;;;
19950609;74;14;8.6;15.3;16.5;18.2;16;1;5;7;6;1;310;2;20;4;30;4;330;4;10;5;-1.5321;1.3681;2;-2;77.2;;;;;;;;;;;;;;
19950610;63.8;13;7.8;14.2;16.1;15.9;14.4;2;8;8;8;7;280;2;330;4;320;3;340;5;340;5;-1.9696;-2;-1.9284;-1.7101;74;;;;;;;;;;;;;;
19950611;45.8;0;11.8;13.2;16;16.5;15.3;8;8;7;7;7;280;3;290;3;330;4;10;5;10;6;-2.9544;-2.8191;-2;0.8682;63.8;;;;;;;;;;;;;;
19950612;64.6;21;11.9;13.6;15.2;16.5;14.9;2;8;6;6;7;360;2;40;4;30;5;20;6;360;5;0;2.5712;2.5;2.0521;45.8;;;;;;;;;;;;;;
19950613;60;22;10.8;13.4;14.8;14.4;14.4;5;7;7;6;4;10;2;40;5;10;5;20;5;10;5;0.3473;3.2139;0.8682;1.7101;64.6;1;20;4;30;4;0;0.5209;0.6428;1.3681;95.4;;;;
19950614;81;19;7.7;14.2;16.7;16.6;16.7;0;5;7;7;3;290;1;10;4;10;5;20;6;360;4;-0.9397;0.6946;0.8682;2.0521;60;;;;;;;;;;;;;;
19950615;65.6;14;9.9;16;18.5;20.6;19.8;7;6;4;2;1;300;2;340;4;10;6;350;4;350;4;-1.7321;-1.3681;1.0419;-0.6946;81;;;;;;;;;;;;;;
19950616;54.6;13;10.4;14.5;21.4;24.7;21.2;8;2;1;1;4;290;2;240;2;230;2;260;5;20;4;-1.8794;-1.7321;-1.5321;-4.924;65.6;;;;;;;;;;;;;;
19950617;49.6;4;12.9;15.7;17;14.6;14.2;7;8;8;8;8;230;3;240;6;230;6;230;4;230;6;-2.2981;-5.1962;-4.5963;-3.0642;54.6;;;;;;;;;;;;;;
19950618;33.2;0;15.8;16.9;17.1;16.9;17.6;7;8;8;7;6;240;2;270;4;10;2;10;5;10;4;-1.7321;-4;0.3473;0.8682;49.6;;;;;;;;;;;;;;
19950619;66.6;17;14.4;18.3;21.6;24.2;23.8;7;6;3;6;7;80;2;230;3;210;3;160;2;230;2;1.9696;-2.2981;-1.5;0.684;33.2;;;;;;;;;;;;;;
19950620;60.8;15;15.1;20.3;22.3;25.3;21.5;7;7;8;7;7;290;2;330;1;330;2;10;2;10;5;-1.8794;-0.5;-1;0.3473;66.6;;;;;;;;;;;;;;
19950621;56.4;23;15.3;18.6;23;24.4;22.8;8;3;1;1;1;10;3;30;4;30;4;10;5;10;6;0.5209;2;2;0.8682;60.8;;;;;;;;;;;;;;
19950622;78;14;14.6;18.5;21.6;22.4;21.3;1;1;1;1;3;50;4;60;7;60;7;60;7;60;6;3.0642;6.0622;6.0622;6.0622;56.4;;;;;;;;;;;;;;
19950623;77.4;17;13.2;16;17.9;19.4;19.5;1;3;5;3;1;40;5;50;7;50;8;50;9;40;7;3.2139;5.3623;6.1284;6.8944;78;;;;;;;;;;;;;;
19950624;70.8;19;12.7;14.9;20;21.2;18.2;6;6;1;2;1;20;4;20;6;30;6;10;7;40;7;1.3681;2.0521;3;1.2155;77.4;;;;;;;;;;;;;;
19950625;93.6;13;12.6;18.3;22.5;24.8;24.5;5;1;4;2;1;360;1;50;4;80;5;60;6;80;6;0;3.0642;4.924;5.1962;70.8;;;;;;;;;;;;;;
19950626;102.2;17;17.9;24.3;28.8;29.7;26.7;0;1;1;2;1;50;4;70;5;80;7;70;7;30;7;3.0642;4.6985;6.8937;6.5778;93.6;;;;;;;;;;;;;;
19950627;114;14;19;25.3;29.1;28.7;25.3;0;0;1;2;1;40;5;60;6;70;7;50;7;40;9;3.2139;5.1962;6.5778;5.3623;102.2;;;;;;;;;;;;;;
19950628;121.6;18;17.1;23.6;30.5;30.9;31.2;0;6;2;3;1;350;3;30;3;70;6;90;4;100;6;-0.5209;1.5;5.6382;4;114;;;;;;;;;;;;;;
19950629;136.8;17;21.5;28.6;32.2;33.2;31.5;0;0;1;1;0;70;1;90;4;100;6;100;5;120;4;0.9397;4;5.9088;4.924;121.6;;;;;;;;;;;;;;
19950630;137.4;13;19.1;27.4;32;33.5;30.6;0;0;1;1;4;100;1;130;1;150;3;250;3;260;4;0.9848;0.766;1.5;-2.8191;136.8;;;;;;;;;;;;;;
19950701;136.6;13;18.3;22.9;30.3;21.8;20.1;6;6;6;8;8;300;1;240;2;260;2;180;7;30;2;-0.866;-1.7321;-1.9696;0;137.4;;;;;;;;;;;;;;
19950702;86;15;17.2;19.3;22.7;24.3;20.3;8;7;6;6;7;0;0;240;4;250;3;230;7;250;4;0;-3.4641;-2.8191;-5.3623;136.6;;;;;;;;;;;;;;
19950703;84.4;17;15.1;17.4;19.2;19.3;19.5;8;7;7;7;2;300;3;330;5;340;4;350;5;20;5;-2.5981;-2.5;-1.3681;-0.8682;86;;;;;;;;;;;;;;
19950704;77.6;11;12.8;17.6;20.7;20.9;19.1;0;6;7;6;0;310;1;300;1;340;3;350;5;360;5;-0.766;-0.866;-1.0261;-0.8682;84.4;;;;;;;;;;;;;;
19950705;51;13;12.3;18.5;19.2;20.3;20.4;1;6;8;8;7;300;2;340;2;340;2;350;3;20;3;-1.7321;-0.684;-0.684;-0.5209;77.6;;;;;;;;;;;;;;
19950706;50.8;14;14.8;18.3;20.4;20.8;20.8;7;7;7;6;7;340;2;20;2;330;3;360;3;360;3;-0.684;0.684;-1.5;0;51;;;;;;;;;;;;;;
19950707;75.8;14;13.7;20.2;24.3;26.4;24.5;5;2;5;3;2;350;2;180;1;10;3;50;3;360;5;-0.3473;0;0.5209;2.2981;50.8;;;;;;;;;;;;;;
19950708;134;16;15.9;23.9;28.4;29.7;28.3;3;3;6;1;3;10;2;50;1;60;5;70;3;20;5;0.3473;0.766;4.3301;2.8191;75.8;;;;;;;;;;;;;;
19950709;129.6;13;18.3;26.5;32.7;33.5;32.5;0;1;3;3;2;320;1;90;2;150;3;120;3;90;3;-0.6428;2;1.5;2.5981;134;;;;;;;;;;;;;;
19950710;98.8;14;21.2;24.8;25.2;27.6;23.1;7;4;7;5;7;350;2;230;2;320;3;270;3;340;6;-0.3473;-1.5321;-1.9284;-3;129.6;;;;;;;;;;;;;;
19950711;66.8;2;17.7;17.7;21.3;25.1;23.4;8;8;7;4;2;310;2;290;2;260;3;250;5;230;6;-1.5321;-1.8794;-2.9544;-4.6985;98.8;;;;;;;;;;;;;;
19950712;71.4;17;18.1;21.4;24.6;25.7;25.2;4;2;7;7;7;230;3;230;2;170;3;170;3;110;2;-2.2981;-1.5321;0.5209;0.5209;66.8;;;;;;;;;;;;;;
19950713;69.8;16;16.9;18.6;22.3;25.2;23.3;7;7;7;7;7;280;1;140;3;200;1;140;1;290;4;-0.9848;1.9284;-0.342;0.6428;71.4;;;;;;;;;;;;;;
19950714;59.6;12;16.9;19.9;23.2;19.1;20.6;5;7;6;8;6;200;4;220;4;240;7;240;5;220;7;-1.3681;-2.5712;-6.0622;-4.3301;69.8;;;;;;;;;;;;;;
19950715;79.2;15;17;19.9;22.6;24.3;22.8;8;7;5;5;3;240;2;260;4;260;5;240;6;250;6;-1.7321;-3.9392;-4.924;-5.1962;59.6;;;;;;;;;;;;;;
19950716;63.6;13;15.4;19;22.4;21.5;21.4;5;7;6;7;7;220;2;280;4;250;5;260;6;250;5;-1.2856;-3.9392;-4.6985;-5.9088;79.2;;;;;;;;;;;;;;
19950717;53.6;19;17.2;18;22.3;24.8;23.1;8;8;7;7;7;190;2;210;4;210;7;250;6;240;4;-0.3473;-2;-3.5;-5.6382;63.6;;;;;;;;;;;;;;
19950718;69.6;13;15;21;24.9;27;26.9;6;5;6;5;3;230;2;230;4;260;4;290;2;260;2;-1.5321;-3.0642;-3.9392;-1.8794;53.6;;;;;;;;;;;;;;
19950719;104.2;17;18;20.2;27.2;30.6;30.3;8;7;3;3;3;70;3;100;2;180;2;90;1;90;3;2.8191;1.9696;0;1;69.6;;;;;;;;;;;;;;
19950720;123.4;12;19.2;27.6;33.1;34.9;34.1;0;1;1;3;3;330;1;90;1;110;2;70;3;70;3;-0.5;1;1.8794;2.8191;104.2;;;;;;;;;;;;;;
19950721;80.6;13;18.8;23.2;24.3;25.7;21.9;6;0;0;0;1;330;4;340;5;340;5;340;6;360;7;-2;-1.7101;-1.7101;-2.0521;123.4;;;;;;;;;;;;;;
19950722;70.6;12;16.3;19.6;21.4;21.7;19.3;6;2;1;1;0;340;5;360;9;20;8;340;8;340;6;-1.7101;0;2.7362;-2.7362;80.6;;;;;;;;;;;;;;
19950723;105.6;14;11.3;20;23.4;25.8;24.2;0;0;0;0;1;290;1;140;4;100;2;50;4;20;4;-0.9397;2.5712;1.9696;3.0642;70.6;;;;;;;;;;;;;;
19950724;117.2;14;13.9;22.9;28.1;30.1;29.2;1;1;0;0;0;30;1;80;3;80;4;80;5;80;5;0.5;2.9544;3.9392;4.924;105.6;;;;;;;;;;;;;;
19950725;128;15;18.4;26.1;31;32.6;31.7;1;4;3;5;7;90;3;110;6;100;7;90;9;110;4;3;5.6382;6.8937;9;117.2;;;;;;;;;;;;;;
19950726;96.4;0;19.3;23.7;24.6;24.1;21.6;7;5;6;7;6;220;4;220;8;220;8;210;9;200;9;-2.5712;-5.1423;-5.1423;-4.5;128;;;;;;;;;;;;;;
19950727;48;12;17.1;17.8;21.3;22.4;21;8;8;7;6;7;230;7;240;5;240;6;230;7;220;5;-5.3623;-4.3301;-5.1962;-5.3623;96.4;;;;;;;;;;;;;;
19950728;56.8;18;19.6;20.5;22.4;25.4;26.2;8;8;8;3;1;270;4;250;2;240;2;260;2;20;1;-4;-1.8794;-1.7321;-1.9696;48;;;;;;;;;;;;;;
19950729;98.2;15;17;23.3;28;30.2;29.2;9;3;1;0;2;30;1;130;3;120;3;50;2;60;3;0.5;2.2981;2.5981;1.5321;56.8;;;;;;;;;;;;;;
19950730;114.6;16;15.9;25.9;30.7;31.1;29.9;1;1;3;3;2;0;0;120;1;120;2;300;3;30;5;0;0.866;1.7321;-2.5981;98.2;;;;;;;;;;;;;;
19950731;138.8;11;19.2;25.4;29.6;30.7;28.9;2;0;4;5;4;350;1;10;2;20;3;40;4;10;6;-0.1736;0.3473;1.0261;2.5712;114.6;;;;;;;;;;;;;;
19950801;140.8;14;17.9;25.6;32;32.2;32;5;2;1;3;4;290;1;180;1;10;2;150;4;130;3;-0.9397;0;0.3473;2;138.8;;;;;;;;;;;;;;
19950802;134.6;13;20.5;24;29.9;32.7;26.2;7;5;6;6;3;0;0;320;3;50;1;270;2;340;4;0;-1.9284;0.766;-2;140.8;;;;;;;;;;;;;;
19950805;114.8;14;17.4;22.2;26.3;23.4;18.3;5;1;3;8;8;270;1;20;5;300;2;270;7;330;6;-1;1.7101;-1.7321;-7;173;;;;;;;;;;;;;;
19950806;104.4;14;17.3;19.4;22.7;22.5;20.8;7;7;6;7;7;100;1;0;0;320;2;230;3;360;4;0.9848;0;-1.2856;-2.2981;114.8;;;;;;;;;;;;;;
19950807;76.6;9;17.4;20;20.1;19.4;19.4;8;6;8;8;8;10;3;30;4;30;6;20;6;20;5;0.5209;2;3;2.0521;104.4;;;;;;;;;;;;;;
19950808;75;19;14.5;18.5;20.1;20.4;19.5;1;7;7;7;7;20;4;50;6;60;6;60;5;40;5;1.3681;4.5963;5.1962;4.3301;76.6;;;;;;;;;;;;;;
19950809;115.8;18;16.5;21;24.2;25.4;25.3;8;3;2;7;1;30;3;70;4;50;5;80;5;80;4;1.5;3.7588;3.8302;4.924;75;;;;;;;;;;;;;;
19950810;144;18;16.8;24.2;27.2;29.2;28.7;0;1;4;6;2;100;2;90;4;120;6;120;5;120;3;1.9696;4;5.1962;4.3301;115.8;;;;;;;;;;;;;;
19950811;144.4;13;17;25.1;30.6;32.4;30.1;0;0;1;2;1;0;0;170;1;280;1;250;4;250;3;0;0.1736;-0.9848;-3.7588;144;;;;;;;;;;;;;;
19950812;108.2;16;17.2;18;20.5;25.7;24.2;8;8;7;1;5;330;2;300;3;300;2;340;2;20;6;-1;-2.5981;-1.7321;-0.684;144.4;;;;;;;;;;;;;;
19950813;72.4;11;18.1;19.8;23;23.4;21.1;7;3;3;1;1;340;4;340;5;360;6;340;7;340;7;-1.3681;-1.7101;0;-2.3941;108.2;;;;;;;;;;;;;;
19950814;88.6;13;14.6;19.4;22.3;22.3;21.1;1;3;4;7;5;320;3;340;5;360;5;20;6;20;8;-1.9284;-1.7101;0;2.0521;72.4;;;;;;;;;;;;;;
19950815;112;16;12.2;20.3;24.4;25.9;23.9;1;1;2;2;0;330;2;50;2;20;5;40;4;20;5;-1;1.5321;1.7101;2.5712;88.6;;;;;;;;;;;;;;
19950816;131.2;23;13.1;21.8;27.1;29;26.2;0;0;1;6;3;290;2;90;1;50;5;60;5;10;5;-1.8794;1;3.8302;4.3301;112;;;;;;;;;;;;;;
19950817;131.6;19;14.7;24.8;28.6;29.4;28;3;3;1;3;1;300;1;70;3;60;5;60;7;60;3;-0.866;2.8191;4.3301;6.0622;131.2;;;;;;;;;;;;;;
19950818;125.6;18;14.7;24.1;28;28.8;26.8;1;1;2;2;3;290;1;80;3;70;6;40;4;10;5;-0.9397;2.9544;5.6382;2.5712;131.6;;;;;;;;;;;;;;
19950819;155.8;12;15;22.8;29.6;30.3;27.9;0;0;2;2;1;280;1;10;2;50;2;320;2;360;5;-0.9848;0.3473;1.5321;-1.2856;125.6;;;;;;;;;;;;;;
19950820;161.4;13;17.8;22.2;28.4;29.2;26.6;6;0;0;3;7;340;3;360;4;20;3;360;6;350;3;-1.0261;0;1.0261;0;155.8;;;;;;;;;;;;;;
19950821;125.4;14;16.3;23.9;28.2;28.2;25.9;0;0;1;3;0;310;2;30;3;60;5;360;6;360;6;-1.5321;1.5;4.3301;0;161.4;;;;;;;;;;;;;;
19950822;111.4;21;14.3;22.8;27.2;28.2;25.3;1;1;1;1;1;310;3;20;5;30;5;350;5;360;5;-2.2981;1.7101;2.5;-0.8682;125.4;;;;;;;;;;;;;;
19950823;91.4;1;17.7;21;23;23.9;21.7;7;5;8;7;7;350;4;320;3;330;6;330;4;350;6;-0.6946;-1.9284;-3;-2;111.4;;;;;;;;;;;;;;
