"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"k270";0;0;0;11.01;0;1.1;0;0;25.23;0;0;0;0;22.52;0;6.91;0;0;0;0;0;0.2;0;0;0;31.53;0;0;1.5;0;0;834.5;-26.158;371.152;92.806;-4.634;15.699;-161.9;60.02;1;"COMX"
"k271";0;0;0;5.89;0;0.9;0;0;17.58;0;0;0;0;22.28;0;8.59;0;0;0;0;0;0.2;0;0;0;43.26;0;0;1.3;0;0;808.976;-26.592;397.926;90.564;-4.941;15.518;-163.08;60.12;5;"COMX"
"k272";0;0;0;6.41;0;1;0;0;16.62;0;0;0;0;31.33;0;6.11;0;0;0;0;0;0.8;0;0;0;37.14;0;0;0.6;0;0;738.193;-27.921;301.462;83.271;-5.857;15.018;-164.07;60.33;4;"COMX"
"k273";0;0;0;9.4;0;0;0;0;17;0;0;0;0;23.4;0;7.5;0;0;0;0;0;0.9;0;0;0;41.3;0;0;0.5;0;0;864.195;-25.551;479.691;96.511;-4.222;15.91;-162.63;60.58;6;"COMX"
"k274";0;0;0;13.4;0;0.2;0;0;20.1;0;0;0;0;17.9;0;5.2;0;0;0;0;0;1.1;0;0.2;0;41.1;0;0;0.8;0;0;863.702;-25.622;406.435;95.737;-4.26;15.907;-161.77;60.46;1;"COMX"
"k275";0;0;0;11.91;0;0.4;0;0;26.33;0;0;0;0;17.42;0;12.41;0;0;0;0;0;1.1;0;0;0;29.63;0;0;0.8;0;0;935.295;-24.225;600.066;104.231;-3.302;16.414;-161.68;61.08;9;"COMX"
"k276";0;0;0;5.71;0;0.2;0;0;16.02;0;0;0;0;26.83;0;8.51;0;0;0;0;0;0.8;0;0;0;41.54;0;0;0.4;0;0;856.927;-25.641;512.242;96.35;-4.291;15.86;-162.93;60.98;9;"COMX"
"k277";0;0;0;7;0;1.3;0;0;12.1;0;0;0;0;32.7;0;7.5;0;0;0;0;0;1.8;0;0;0;36;0;0;1.6;0;0;696.701;-28.721;219.869;79.03;-6.402;14.728;-164.33;60.93;2;"COMX"
"k278";0;0;0;54.6;0;0.92;0;0;12.99;0;0;0;0;10.63;0;2.35;0;0;0;0;0;1.43;0;0;0;16.36;0;0;0.72;0;0;930.009;-24.02;864.048;108.353;-3.209;16.381;-164.2;61.43;30;"COMX"
"k279";0;0;0;14.2;0;1.3;0;0;18.5;0;0;0;0;24.3;0;8.1;0;0;0;0;0;1.3;0;0;0;31.3;0;0;1;0;0;682.41;-28.917;245.395;78.652;-6.533;14.633;-165.1;61.53;3;"COMX"
"r050";0;0;0;76.57;0;0;0;0;11.56;0;0;0;0.32;0.48;0;0;0;0;0;0;0;0.8;0;5.94;0.16;2.57;0;0.16;1.12;0.32;0;862.29;-10.166;539.261;98.408;1.57;14.624;35.2167;62.05;35;"COMX"
"r051";0;0;0;21.48;0.74;1.11;0;0;30.37;0;0;0.74;0;0;0;0.37;0;0;0;0;0;4.81;0;23.7;0.37;5.19;0;0;0.37;8.89;1.85;860.108;-10.175;532.856;98.1;1.543;14.587;35.3833;62.5167;37;"COMX"
"r052";0;0;0;6.35;0;0;0.4;3.97;43.65;0;0;0;0;0.79;0;3.17;0;0;0;0;0;3.17;0;37.3;0.4;0.4;0;0;0.4;0;0;830.094;-9.903;540.565;97.711;1.55;14.425;33.4833;61.8;20;"COMX"
"r053";0;0;0;7.78;0;0;0;6.11;23.33;0;0;0.56;0;15;0;3.89;0;0;0;0;0;6.11;0;36.11;0.56;0.56;0;0;0;0;0;830.094;-9.903;540.565;97.711;1.55;14.425;33.4833;61.8;20;"COMX"
"r054";0;0;0;4.69;0;0.39;0;0;58.59;0;0;0.78;0;7.81;0;0.78;0;0;0;0;0;2.34;0;23.05;0;1.56;0;0;0;0;0;830.094;-9.903;540.565;97.711;1.55;14.425;33.4833;61.8;20;"COMX"
"r055";0;0;0;3.2;0.18;0.53;0.18;2.31;20.82;0;0;0.18;0;2.67;0;0.18;0;0;0;0;0;7.47;0;60.68;0.18;1.25;0;0;0.18;0;0;1145.918;-9.566;575.306;97.491;2.975;16.287;34.15;61.7667;120;"COMX"
"r056";0;0;0;2.32;0.18;0.18;0.18;0.71;18;0;0;0.36;0;1.07;0;0.36;0;0;0;0;0;5.53;0;68.98;0;1.78;0;0;0.18;0;0.18;1145.918;-9.566;575.306;97.491;2.975;16.287;34.15;61.7667;120;"COMX"
"r057";0;0;0;12.7;0;2.46;0.2;1.23;27.25;0;0;0.82;0;0.61;0;0.2;0;0;0;0;0;0.41;0;50.61;0;3.07;0;0;0.41;0;0;1145.918;-9.566;575.306;97.491;2.975;16.287;34.15;61.7667;120;"COMX"
"r058";0;0;0;5.12;0.16;0.64;0;0.48;10.24;0.32;0;0.8;0;0.16;0;0.32;0;0;0;0;0;1.12;0;78.24;0;2.24;0;0;0;0;0.16;1145.918;-9.566;575.306;97.491;2.975;16.287;34.15;61.7667;120;"COMX"
"r059";0.26;0;0;4.72;0;0.79;0;7.09;41.99;0;0;0.52;0;0.52;0;0;0;0;0;0;0;18.37;0;22.05;0;3.41;0;0;0.26;0;0;960.189;-10.336;566.263;99.023;1.987;15.324;36.05;61.0667;50;"COMX"
"r060";0;0;0;1.92;0;0.21;0;3.21;14.53;0;0;0.43;0;5.56;0;1.71;0;0;0;0;0;1.71;0;68.38;0;2.14;0;0;0.21;0;0;1112.449;-8.773;551.081;95.304;3.097;15.898;32.1667;62.0833;124;"COMX"
"r061";0.5;0;0;0;0;26.37;0;0;15.42;6.47;0;13.93;0;0;17.91;0;0;0;0;0;0;4.98;9.45;0;0;4.98;0;0;0;0;0;786.887;-19.517;262.685;44.893;-2.128;14.091;88.3;48.6667;2083;"COMX"
"r062";0.64;0;0;0;0;15.38;3.85;0;12.18;0.64;0;35.26;0;0;0.64;0;0;0;0;3.21;0;5.13;10.26;0;0;12.82;0;0;0;0;0;791.911;-19.499;257.953;43.574;-2.098;14.13;88.6;48.5667;2072;"COCO"
"r063";0;0;0;0;0;7.19;0.65;0;12.42;5.88;0;31.37;0;3.92;0;0;0;0;0;1.31;0;3.92;3.27;1.96;0;28.1;0;0;0;0;0;443.401;-21.749;447.381;68.155;-4.565;11.698;88.9167;48.6;2493;"COCO"
"r064";0;0;0;0;0;3.16;0.63;0;1.9;1.9;0;79.11;0;1.9;1.58;0;0;0;0;0;0;0.32;0;0.63;0;8.86;0;0;0;0;0;683.313;-20.14;323.078;49.029;-2.857;13.324;88.8833;48.3333;2232;"HODE"
"r065";0;0;0;0;0.43;30.11;1.51;0;9.89;0;0;14.19;0;1.51;1.94;0;0;0;0;0;0;3.01;0;30.11;0;7.31;0;0;0;0;0;759.158;-19.791;259.693;42.275;-2.348;13.962;90.1;48.5833;2079;"COMX"
"r066";0;0;0;0;0;25.25;5.9;0;3.28;0;0;10.16;0;4.59;3.61;0;0;0;0;1.15;0;3.77;2.3;6.56;0;33.44;0;0;0;0;0;749.365;-19.769;278.893;42.296;-2.365;13.901;90.6667;48.2833;2094;"COST"
"r067";0;0;0;0;0;22.18;3.33;0;0.55;0;0;31.42;0;9.24;0.92;0;0;0;0;0.55;0;1.48;0;22.92;0;7.39;0;0;0;0;0;701.188;-20.426;273.232;47.154;-2.845;13.658;89.8;49.5;2097;"COST"
"r068";0;0;0;0;2.75;10.31;0.69;0;6.53;0;0;23.37;0;0.34;2.06;0;0;0;0;0.69;0;1.03;0;49.48;0;2.75;0;0;0;0;0;1024.267;-19.127;229.952;42.37;-0.886;16.143;90.6;49.5;1435;"COCO"
"r069";0;0;0;0;0;23.26;22.38;0;1.16;2.62;0;31.98;0;0.87;3.78;0;0;0;0;0.29;0;0.58;0.58;7.27;0;5.23;0;0;0;0;0;1194.16;-17.891;210.12;37.871;0.353;17.267;92.3;47.8667;1157;"HODE"
"r070";0;0;0;0;0;14.52;0.66;0;0.66;0;0;75.91;0;0.99;0;0;0;0;0;0;0;0;0;6.6;0;0.66;0;0;0;0;0;1147.048;-18.65;270.381;50.842;-0.171;17.045;93.1167;47.95;1132;"HODE"
"r071";0;0;0;0;0;46.3;4.63;0;1.39;0.46;0;14.81;0;0.93;0;0;0;0;0;4.17;0;0;0;1.85;0;25.46;0;0;0;0;0;1133.587;-18.827;302.081;53.868;-0.3;16.975;93.2833;48.0333;1132;"COST"
"r072";0;0;0;0;0;16.03;0.2;0;1.6;1.2;0;24.05;0;1.4;34.07;0;0;0;0;0;0;0.2;0;20.64;0;0.6;0;0;0;0;0;1136.72;-19.192;350.001;63.074;-0.451;17.074;93.5667;48.9167;1030;"HODE"
"r073";0;0;0;0;0.51;40.61;1.02;0;0;0;0;20.3;0;10.15;10.15;0;0;0;0;0;0;0;0;2.03;0;15.23;0;0;0;0;0;950.822;-19.568;282.668;56.566;-1.315;15.712;95.1833;48.4667;1491;"WAST"
"r074";0;0;0;0;0.43;4.78;0.43;0;3.48;0.87;0;63.91;0;1.74;1.74;0;0;0;0;0;0;1.3;2.61;5.22;0;13.48;0;0;0;0;0;1178.252;-19.208;397.65;70.861;-0.317;17.337;94.0333;49.9833;931;"HODE"
"r075";0;0;0;0;0;6.74;1.87;0;4.12;2.25;0;2.62;0;5.24;0.37;0;0;0;0;15.73;0;2.25;31.46;8.24;0;19.1;0;0;0;0;0;844.637;-20.893;407.56;79.467;-2.405;14.993;99.4;51.2667;1538;"COCO"
"r076";0;0;0;0;0;2.21;2.21;0;2.21;2.21;0;4.41;0;2.21;0;0;0;0;0;2.94;0;5.15;36.76;9.56;0;30.15;0;0;0;0;0;844.577;-20.886;403.877;79.247;-2.402;14.992;99.45;51.2;1539;"COCO"
"r077";0;0;0;0;0;1.26;3.36;0;8.4;2.52;0;3.78;0;11.34;0;0;0;0;0;5.46;0;6.3;20.17;27.73;0;9.66;0;0;0;0;0;842.432;-20.927;410.169;79.924;-2.43;14.98;99.3667;51.3833;1538;"COCO"
"r078";0;0;0;0;1.06;7.94;2.12;0;8.47;2.65;0;3.17;0;0;0;1.06;0;0;0;21.16;0;2.12;21.69;15.34;0;13.23;0;0;0;0;0;835.901;-20.223;327.241;65.515;-2.149;14.829;100.15;50.4;1650;"COCO"
"r079";0;0;0;0;0;16.22;0;0;0;0;0;2.7;0;0;0;0;0;0;0;10.81;0;0;35.14;21.62;0;13.51;0;0;0;0;0;831.694;-20.212;324.724;65.168;-2.163;14.792;100.15;50.4;1662;"COCO"
"r080";0;0;0;0;0;4.92;3.28;0;16.39;12.3;0;1.64;0;0.82;0;0.82;0;0;0;6.56;0;3.28;20.49;14.75;0;14.75;0;0;0;0;0;1122.729;-19.649;411.014;79.056;-0.738;16.934;102.5667;49.8833;1000;"COCO"
"r081";0;0;0;0;0;3.29;5.26;0;5.92;4.61;0;3.29;0;5.26;0;0;0;0;0;7.24;0;3.95;15.79;26.32;0;19.08;0;0;0;0;0;953.84;-19.494;368.103;68.947;-1.333;15.678;102.9333;48.8167;1440;"COCO"
"r082";0;0;0;0;2.08;18.75;0;0;20.83;0;0;0;0;4.17;0;0;0;0;0;29.17;0;0;0;14.58;0;10.42;0;0;0;0;0;936.849;-19.147;326.062;61.702;-1.261;15.488;103.3167;48.8;1540;"COCO"
"r083";0;0;0;0;0;59.36;2.28;0;1.37;0;0;4.57;0;4.57;1.83;0.91;0;0;0;5.02;0;0.46;5.02;0.91;0;13.7;0;0;0;0;0;705.174;-19.202;280.668;52.183;-2.253;13.63;99.55;48.1833;2060;"COST"
"r084";0;0;0;0;0;5.65;7.26;0;1.21;0;0;11.69;0;3.63;31.85;0;0;0;0;4.84;0;0.4;20.16;12.5;0;0;0;0;0.81;0;0;714.516;-19.047;271.844;50.513;-2.148;13.686;99.8333;48.1333;2060;"COCO"
"r085";0;0;0;0;0.17;32.7;19.28;0;0.52;2.24;0;24.1;0;1.2;0.86;0;0;0;0;0.52;0;0;10.15;7.06;0;1.2;0;0;0;0;0;705.389;-19.194;280.853;52.19;-2.249;13.631;99.6167;48.1833;2060;"COST"
"r086";0;0;0;0;0.35;32.75;5.92;0;8.36;0;0;4.53;0;1.74;0.7;0;0;0;0;0.7;0;0;17.42;3.83;0;23.69;0;0;0;0;0;899.791;-18.507;316.355;59.803;-1.101;15.13;101.85;47.3833;1700;"COST"
"r087";0;0;0;0;5.13;17.95;2.56;0;2.56;1.28;0;3.85;0;0;0;0;0;0;0;26.92;0;0;16.67;0;0;23.08;0;0;0;0;0;930.56;-18.388;304.452;58.572;-0.918;15.361;101.9333;47.3333;1640;"COCO"
"r088";0;0;0;0;0;40;11.71;0;6.34;10.73;0;13.17;0;0.49;0.98;0;0;0;0;0.98;0;0;2.44;10.73;0;2.44;0;0;0;0;0;984.283;-18.433;309.178;61.298;-0.702;15.81;101.9167;47.45;1500;"COST"
"r089";0;0;0;0;1.37;19.18;1.37;0;2.74;18.49;0;4.79;0;0.68;3.42;0;0;0;0;0.68;0;0;35.62;0.68;0;10.96;0;0;0;0;0;942.33;-18.473;309.521;60.288;-0.903;15.472;101.9167;47.4167;1600;"COCO"
"r090";0;0;0;0;2.65;12.39;0;0;3.54;0;0;0;0;11.5;2.65;0;0;0;0;0;0;0;21.24;7.96;0;38.05;0;0;0;0;0;925.307;-18.415;309.683;59.386;-0.949;15.326;101.8667;47.35;1650;"COMX"
"r091";0;0;0;0;0;59.57;1.81;0;1.81;0;0;20.4;0;3.61;0;0;0;0;0;0;0;0;1.99;3.61;0;7.22;0;0;0;0;0;1035.967;-17.54;253.559;43.469;-0.159;15.991;105.6667;46.5833;1500;"COST"
"r092";0;0;0;0;2.48;32.43;0.99;0;2.48;1.98;0;10.4;0;4.95;0.25;0;0;0;0;0;0;0;1.73;1.49;0;40.84;0;0;0;0;0;1088.849;-17.956;264.209;48.428;-0.124;16.448;105.95;46.75;1316;"WAST"
"r093";0;0;0;0;0;46.77;0;0;12.9;0;0;19.35;0;0;0;0;0;0;0;0;0;0;0;4.84;0;16.13;0;0;0;0;0;1022.998;-17.745;252.128;45.007;-0.298;15.925;105.9167;46.9;1500;"COST"
"r094";0;0;0;0;0;36.96;2.72;0;3.11;19.46;0;2.72;0;10.89;0;0;0;0;0;0;0;0;9.34;0;0;14.79;0;0;0;0;0;1013.581;-17.554;244.804;43.033;-0.255;15.826;105.4667;46.7;1550;"WAST"
"r095";0;0;0;0;0;51.69;0.56;0;0.56;14.04;0;16.29;0;0;0.56;0;0;0;0;2.25;0;0.56;6.18;3.37;0;3.93;0;0;0;0;0;1227.827;-16.534;179.625;30.232;1.036;17.257;106.2833;45.95;1200;"COST"
"r096";0;0;0;0;0;24.22;3.13;0;14.06;9.38;0;28.13;0;1.56;2.34;0;0;0;0;0;0;0;4.69;1.56;0;10.94;0;0;0;0;0;1175.332;-16.382;167.184;27.324;0.89;16.842;106.4833;45.7667;1350;"HODE"
"r097";0;0;0;0;0;16.36;0.37;0;4.09;1.12;0;68.03;0;0.74;1.49;0;0;0;0;0;0;0;3.35;0;0;4.46;0;0;0;0;0;1115.596;-16.628;182.756;30.25;0.544;16.433;106.7333;45.7667;1450;"HODE"
"r098";0;0;0;0;0.36;33.21;12.64;0;3.25;11.19;0;6.86;0;0.36;1.08;0;0;0;0;0;0;0;22.38;7.94;0;0.72;0;0;0;0;0;1011.545;-18.646;330.392;63.82;-0.689;16.054;102.05;47.6833;1400;"COST"
"r099";0;0;0;0;0;31.79;0;0;6.62;0;0;43.05;0;1.99;0.66;0;0;0;0;0;0;0;13.25;1.32;0;1.32;0;0;0;0;0;1014.874;-18.596;331.066;64.738;-0.647;16.079;101.85;47.7167;1400;"HODE"
"r141";0;0;0;0.61;0.3;34.15;3.66;0;32.93;0;0;7.32;0;1.22;0.61;0.3;0;0;0;0;0;3.05;0;7.32;0;7.32;0;0;0.61;0;0.61;839.491;-20.941;409.734;79.905;-2.448;14.959;99.3333;51.4333;1543;"COMX"
"r142";0.45;0;0;2.69;0;2.69;1.79;0;5.83;0;0;1.35;0.45;1.35;0;3.14;0;0;0;0.9;0;30.04;0;47.98;0;0.9;0;0;0.45;0;0;806.456;-20.058;314.931;64.251;-2.19;14.569;99.0167;50.1667;1750;"COCO"
"r143";0;0;0;0;0;21.85;1.68;0;5.88;0;0;4.62;0;15.13;0;0;0;0;0;2.94;0;0.42;0;31.93;0;15.13;0;0;0.42;0;0;833.526;-19.994;267.484;63.992;-2.033;14.792;98.25;49.2667;1700;"COCO"
"r144";0;0;0;0;0;21.94;1.29;0;1.29;0.65;0;23.23;0;7.74;0.65;0;0;0;0;12.9;0;5.16;0;21.94;0;2.58;0;0;0.65;0;0;815.101;-19.83;258.677;59.381;-2.025;14.629;98.0167;48.7333;1760;"COCO"
"r145";0;0;0;0;0.22;20.55;2.62;0;1.75;0.22;0;2.19;0;24.92;0.87;0;0;0;0;4.37;0;0.17;0;23.17;0;17.93;0;0;0.87;0;0.13;911.373;-19.787;338.277;68.374;-1.613;15.42;100.5667;48.4833;1500;"COST"
"r146";0;0;0;0;0;29.83;1.36;0;4.41;0;0;3.39;0;18.31;0.34;0.68;0;0;0;2.03;0;0;0;32.88;0;6.78;0;0;0;0;0;812.57;-19.468;295.367;58.499;-1.899;14.561;100.5;48.45;1790;"COST"
"r147";0;0;0;0;0.28;47.06;7.28;0;2.24;0;0;6.72;0;2.8;0.56;0;0;0;0;2.8;0;0;0;16.25;0;13.45;0;0;0.56;0;0;911.933;-19.773;339.433;68.544;-1.604;15.423;100.5667;48.45;1500;"COST"
"r148";0;0;0;0;0;34.92;3.63;0;0.68;0;0;28.12;0;9.52;0.23;0;0;0;0;2.49;0;0.23;0;12.24;0;7.71;0;0;0.23;0;0;815.749;-19.456;297.192;58.989;-1.878;14.591;100.45;48.35;1780;"COST"
"r149";0.25;0;0;0;0;27.93;1;0;2.49;0.25;0;2.99;0;29.93;1.5;0;0;0;0;2;0;0.25;0;25.44;0;5.99;0;0;0;0;0;782.894;-19.026;286.978;55.625;-1.832;14.279;100.1833;47.7167;1900;"COST"
"r150";0;0;0;0;0;26.92;2.2;0;0.22;0;0;1.65;0;45.6;4.4;0;0;0;0;2.2;0;0;0;3.3;0;13.19;0;0;0.33;0;0;785.396;-18.98;288.989;55.705;-1.801;14.291;100.3167;47.7;1900;"COST"
"r151";0;0;0;0;0;22.65;0.96;0;0.24;0.48;0;3.86;0;51.57;2.41;0;0;0;0;2.89;0;0.72;0;7.23;0;6.02;0;0;0.96;0;0;785.163;-18.964;288.411;55.911;-1.794;14.293;100.3;47.6167;1900;"COST"
"r152";0;0;0;0;0;49.2;0.32;0;1.28;0;0;3.83;0;10.86;3.83;0;0;0;0;0;0;0;0;5.75;0;24.92;0;0;0;0;0;631.316;-18.748;302.495;54.072;-2.381;12.987;99.9167;47.2667;2250;"WAST"
"r153";0;0;0;0;0.37;21.48;0.74;0;0.74;0.74;0;8.89;0;26.67;4.44;0;0;0;0;1.48;0;0;0;12.96;0;21.48;0;0;0;0;0;665.286;-17.506;246.09;43.198;-1.648;13.164;99.8333;47.1833;2300;"WAST"
"r154";0;0;0;0;0;25;2.17;0;0;6.52;0;2.17;0;30.43;3.26;0;0;0;0;6.79;0;0;0;4.08;0;19.57;0;0;0;0;0;616.003;-16.463;237.469;37.962;-1.389;12.642;99.9167;47.1667;2500;"WAST"
"r155";0;0;0;0;0.29;12.87;2.92;0;0.58;0;0;5.26;0;51.46;0.29;0;0;0;0;2.05;0;0.29;0;9.36;0;14.62;0;0;0;0;0;641.826;-17.919;255.056;47.329;-1.936;13.026;100.5333;47.1;2300;"COST"
"r156";0;0;0;0.28;0;65.56;1.11;0;0.83;0;0;8.33;0;10.56;1.11;0;0;0;0;0;0;0.11;0;7.22;0;4.44;0;0;0.44;0;0;887.996;-17.73;269.991;47.252;-0.823;14.954;102.6167;46.4833;1800;"WAST"
"r157";0;0;0;0;0;52.82;6.34;0;0.14;0.35;0;25.35;0;6.34;0.35;0;0;0;0;0;0;0.07;0;1.83;0;6.34;0;0;0.07;0;0;776.193;-17.689;244.294;44.264;-1.31;13.958;101.2;46.3167;2100;"WAST"
"r158";0;0;0;0.44;0;77.43;3.1;0;0.88;1.77;0;4.42;0;3.54;1.77;0;0;0;0;0;0;0;0;1.33;0;4.87;0;0;0.44;0;0;1080.18;-17.476;274.711;49.644;0.014;16.264;100.6333;45.45;1450;"WAST"
"r159";0;0;0;0;0;39.49;0.14;0;0.45;0;0;46.75;0.09;0.91;0.91;0;0;0;0;0.09;0;0.18;0;9.17;0.91;0.91;0;0;0;0;0;1093.899;-19.068;291.079;55.656;-0.555;16.717;93.8833;48.1333;1200;"WAST"
"r160";0;0;0;0.83;0;31.4;0.83;0;4.96;0.83;0;36.36;0;0.83;0;0;0;0;0;1.65;0;0.83;0;9.92;4.13;7.44;0;0;0;0;0;1014.842;-19.107;293.504;58.328;-0.865;16.122;95.25;47.5333;1400;"COST"
"r161";0;0;0;0;0;15.85;2.44;0;1.83;0;0;5.49;0;3.66;0.61;0;0;0;0;0;0;0;0;3.66;0;10.98;0;0;55.49;0;0;1034.277;-19.128;294.049;57.896;-0.792;16.276;95.3;47.55;1350;"WAST"
"r162";0.13;0;0;0.4;0;35;4;0;0.57;0.5;0;33;0.2;8;2;0;0;0;0;0.2;0;0.45;0;4.42;0;11;0;0;0.13;0;0;988.999;-19.177;280.964;54.759;-0.974;15.938;95.95;47.4;1450;"WAST"
"r163";0;0;0;2.85;2.03;2.03;0;0;19.51;0;0;1.22;2.85;2.03;0;0;0;0;0;0;0;14.23;0;48.78;0;2.03;0;0;0;1.22;1.22;1339.747;-8.546;523.326;89.003;4.046;17.178;39.48;57.17;93;"COMX"
"r188";0;0;0;0.31;0.93;63.78;1.86;0;3.41;0;0;22.91;0;0.31;0.31;0;0;0;0;0;0;0;0;0.62;0.31;4.95;0;0;0;0;0.31;1669.938;-12.59;339.255;55.367;3.937;19.576;69.31;50.68;304;"COST"
"r189";0;0;0;0.4;0.4;31.87;5.98;0;1.59;1.99;0;37.45;0;0;0;0;0;0;0;0;0;0;0;1.2;0;18.33;0;0;0;0.4;0.4;1716.535;-12.236;338.911;55.119;4.194;19.712;69.14;50.37;307;"WAST"
"r190";0;0;0;2.29;0;38.99;1.38;0;0.46;0.92;0.92;47.25;0.46;0;0.92;0;0;0;0;0;0;0;0;1.38;0;5.05;0;0;0;0;0;2586.638;-5.601;232.478;33.622;8.891;22.352;66.33;43.88;59;"WAST"
"r191";0;0;0;0.51;0;20.3;2.03;0;0.51;0;0;70.05;0;0;1.02;0;0;0;0;0;0;0;0;0.51;0;5.08;0;0;0;0;0;2456.458;-4.826;129.259;17.035;9.27;22.366;62;46.17;59;"HODE"
"r192";0;0;0;0;0;40.52;3.92;0;3.27;0.65;0;43.79;0;0.65;1.31;0;0;0;0;0;0;0;0;1.96;0;3.92;0;0;0;0;0;2362.989;-6.146;197.992;29.421;8.33;21.877;63.95;45.58;90;"WAST"
"r193";0;0;0;0;0;12.43;10.27;0;0.54;0;0;53.51;0;0;0;0;0;0;0;0;0;0;0;2.16;0;21.08;0;0;0;0;0;2527.949;-4.774;123.877;16.212;9.489;22.686;64.58;45.17;110;"WAST"
"r194";0;0;0;0;0;3.94;0.91;0;0.61;0;0;90.61;0;0.61;0.3;0;0;0;0;0;0;0;0;0.3;0;2.12;0;0;0;0;0.61;1971.574;-11.291;376.583;58.553;5.203;20.525;74.62;45.02;342;"HODE"
"r195";0;0;0;0;0;20.72;0.66;0;0.33;0;0;74.34;0;0.66;1.97;0;0;0;0;0;0;0;0;0.33;0;0.99;0;0;0;0;0;1991.301;-11.003;363.865;57.156;5.349;20.546;73.66;45.42;342;"HODE"
"r196";0;0;0;0;0;43.69;1.35;0;1.35;0;0;39.64;0;0;5.86;0;0;0;0;0;0;0;0;6.76;0;1.35;0;0;0;0;0;1698.887;-13.524;402.256;65.141;3.601;19.656;75.4;46.67;342;"HODE"
"r197";0.24;0;0;0;1.95;44.63;0.24;0;1.22;0;0;37.32;0;0;0.24;0;0;0;0;0;0;0;0;0;0.49;13.17;0;0;0;0.24;0.24;1570.163;-14.979;400.228;64.852;2.757;19.38;80.74;46.67;350;"WAST"
"r198";0.34;0;0;0;0;28.42;3.08;0;1.37;0;0;60.62;0;0;0.34;0;0;0;0;0;0;0;0;0.34;0;5.14;0;0;0;0;0.34;1605.968;-14.671;384.604;61.84;3.006;19.538;81.32;46.4;346;"HODE"
"r199";2.05;0;0;0;1.75;42.69;1.75;0;1.46;0;0;39.47;0;0;6.43;0;0;0;0;0;0;0.29;0;2.34;0;1.75;0;0;0;0;0;1681.048;-13.965;360.227;56.934;3.539;19.85;81.65;45.93;343;"HODE"
"r200";0;0;0;0;0;31.6;0.43;0;0;0;0;65.8;0;0;0.87;0;0;0;0;0;0;0;0;0.43;0;0.87;0;0;0;0;0;2480.375;-6.605;299.223;39.505;8.465;22.184;70.7;43.42;400;"HODE"
"r201";0;0;0;0;0;42.64;0.51;0;0;1.02;0;46.7;0;0;0;0;0;0;0;0;0;0;0;0;1.02;8.12;0;0;0;0;0;2518.578;-6.181;296.418;37.312;8.791;22.362;70.72;43.12;438;"WAST"
"r202";0;0;0;0;0.7;11.97;9.15;0;0;0.7;0;10.56;0;0;46.48;0;0;0;0;0;0;12.32;0;0;0;8.1;0;0;0;0;0;1663.192;-10.052;356.684;46.743;5.099;18.637;76.24;42.43;1608;"HODE"
"r203";0;0;0;0;0;32.41;0.93;0;0;0;0;42.59;0;0;9.26;0;0;0;0;0;0;4.63;0;0;0;4.63;0;0;5.56;0;0;1552.311;-11.212;448.767;60.873;4.34;18.279;78.12;42.56;1608;"HODE"
"r204";28.3;0;0;0;0.94;3.3;0.94;0;5.19;0;0;6.6;0;0.47;0;0;0;0;0;24.06;0;4.72;0;18.87;0;5.19;0;0;1.42;0;0;1225.45;-16.824;294.092;47.572;0.83;17.102;85.67;48.8;1449;"COCO"
"r205";0.44;0;0;0.44;0;16.37;9.29;0;27.43;2.21;0;9.29;0;3.1;0;0;0;0;0;0;0;0;0;10.18;0;21.24;0;0;0;0;0;1339.888;-15.114;383.574;71.05;1.815;18.205;69.25;54.52;140;"COMX"
"r206";0;0;0;0;0;47.77;4.12;0;19.24;2.06;0;18.9;0;2.06;1.03;0;0;0;0;0;0;0;0;1.37;0;3.09;0;0;0.34;0;0;1275.491;-15.534;387.247;72.727;1.424;17.921;68.42;54.37;125;"COST"
"r207";0;0;0;0.29;0;27.03;5.23;0;31.1;0;0;6.4;0;2.62;0.58;0;0;0;0;0;0;0.29;0;11.05;0;13.66;0;0;1.74;0;0;1402.613;-14.595;327.002;58.822;2.259;18.503;69.33;53.83;175;"COMX"
"r208";0;0;0;0.3;0;32.42;3.64;0;19.7;0;0;8.48;0;0.61;0;0;0;0;0;0;0;0.3;0;26.36;0;7.88;0;0;0.3;0;0;1810.607;-11.533;315.062;47.544;4.986;20.282;70.58;52.53;505;"COMX"
"r209";0;0;0;0;0;7.62;2.86;0;10.48;0;0;2.86;0;0;0.48;0;0;0;1.43;0;0;0;0;71.43;0;2.86;0;0;0;0;0;1698.068;-12.563;341.38;55.038;4.149;19.798;70.67;52.83;400;"COMX"
"r210";0;0;0;0.39;0.39;13.18;7.36;0;12.79;0.39;0;1.16;0;0.39;0.39;0;0;0;0;0;0;0;0;63.18;0;0.39;0;0;0;0;0;1698.443;-12.559;341.498;55.088;4.152;19.799;70.68;52.85;400;"COMX"
