La préservation de l environnement est une chose ...;Les découvertes scientifiques améliorent-elles la vie ?;Fonctionnement de la justice;La société française a-t-elle besoin de se transformer ?;Sexe;Diplôme;Profession;Age
préservation env. peu importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;BEPC-BE-BEPS;autre employé qual.;25
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;autre employé qual.;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;personnel de service;50
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);ouvrier spécialisé;32
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier qualifié;79
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : sans opinion;oui;féminin;CEP ou fin études;ouvrier spécialisé;28
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier qualifié;63
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;ouvrier qualifié;50
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;BEPC-BE-BEPS;personnel de service;19
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;université,gde école;Non communiqué;31
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;Non communiqué;74
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;Non communiqué;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;cadre supérieur;69
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;profession libérale;69
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;cadre supérieur;76
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;cadre moyen;71
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;autre emp. non qual.;55
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;université,gde école;cadre supérieur;52
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;cadre supérieur;59
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;cadre supérieur;32
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;cadre moyen;28
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;cadre moyen;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;22
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre employé qual.;18
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;Non communiqué;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;autre employé qual.;32
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);autre employé qual.;27
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très bon;non;féminin;CEP ou fin études;autre employé qual.;52
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;masculin;aucun;ouvrier qualifié;28
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;ouvrier spécialisé;48
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier qualifié;43
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;université,gde école;ouvrier qualifié;25
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;ouvrier qualifié;68
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier spécialisé;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;personnel de service;56
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;21
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;Non communiqué;19
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre moyen;44
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très bon;non;féminin;CEP ou fin études;cadre moyen;65
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;brevet sup.;cadre moyen;42
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;60
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;cadre moyen;76
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;contremaître;72
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;aucun;ouvrier qualifié;65
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;artisan;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;cadre supérieur;54
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;cadre supérieur;46
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre moyen;41
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre supérieur;37
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;cadre moyen;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;BEPC-BE-BEPS;cadre moyen;51
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;autre employé qual.;22
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;20
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;autre emp. non qual.;31
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;employé de commerce;55
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;40
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;22
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;31
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;32
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;52
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;personnel de service;45
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;personnel de service;25
préservation env. peu importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;université,gde école;Non communiqué;19
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;Non communiqué;20
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;Non communiqué;42
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;Non communiqué;49
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;Non communiqué;55
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;73
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;personnel de service;72
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;employé de commerce;70
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;73
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;baccalauréat (1/2);patron indus.commer.;35
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre supérieur;43
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;cadre supérieur;32
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;autre;cadre moyen;25
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre moyen;25
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;cadre moyen;37
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;35
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;brevet sup.;autre emp. non qual.;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;baccalauréat (1/2);personnel de service;19
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;brevet sup.;employé de commerce;23
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;brevet sup.;employé de commerce;25
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);ouvrier qualifié;30
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;45
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;24
préservation env. peu importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;33
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;ne sait pas;féminin;CEP ou fin études;ouvrier spécialisé;58
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier spécialisé;38
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;personnel de service;54
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;aucun;personnel de service;32
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;autre;Non communiqué;21
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;Non communiqué;50
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;Non communiqué;25
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;cadre moyen;72
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;manoeuvre;66
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;cadre supérieur;66
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;féminin;CEP ou fin études;personnel de service;72
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;petit commercant;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;ne sait pas;féminin;université,gde école;profession libérale;33
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;université,gde école;profession libérale;69
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;cadre supérieur;50
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;52
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;29
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;cadre moyen;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;36
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;BEPC-BE-BEPS;employé de commerce;26
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;autre employé qual.;38
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;autre employé qual.;62
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;40
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier qualifié;40
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;non;masculin;aucun;manoeuvre;36
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;55
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;ouvrier spécialisé;39
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;44
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;personnel de service;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;20
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;Non communiqué;23
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);autre emp. non qual.;25
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;baccalauréat (1/2);cadre moyen;52
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;ouvrier spécialisé;41
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;baccalauréat (1/2);cadre supérieur;41
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;cadre moyen;70
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;brevet sup.;cadre moyen;65
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;personnel de service;70
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;profession libérale;82
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);petit commercant;51
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;cadre supérieur;41
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;université,gde école;cadre supérieur;53
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;cadre moyen;53
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;cadre moyen;24
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;autre actif;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;autre emp. non qual.;47
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;brevet sup.;autre employé qual.;30
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre emp. non qual.;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;baccalauréat (1/2);autre employé qual.;30
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;ne sait pas;féminin;université,gde école;autre employé qual.;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;masculin;aucun;ouvrier spécialisé;29
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;aucun;ouvrier qualifié;54
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;44
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;ne sait pas;masculin;aucun;ouvrier qualifié;19
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;oui;masculin;BEPC-BE-BEPS;autre emp. non qual.;27
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;patron indus.commer.;57
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;personnel de service;42
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;université,gde école;Non communiqué;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;université,gde école;Non communiqué;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;Non communiqué;80
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;autre;profession libérale;52
