Preserving the environnment is;Do scientific discoveries make life better ;Judicature;Do French society need to change;Sex;Level of education;Socio occupational category;Age
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;middle school;undisclosed;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;senior manager;69
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;liberal profession;69
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;senior manager;76
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;middle manager;71
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;other unskilled employee;55
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;university;senior manager;52
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;university;senior manager;59
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;university;senior manager;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;middle manager;28
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;middle manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;middle manager;22
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;other skilled employee;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;undisclosed;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;other skilled employee;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;other skilled employee;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is very good;no;female;primary school;other skilled employee;52
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;none;skilled manual worker;28
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;specialized worker;48
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;skilled manual worker;43
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;no opinion;male;university;skilled manual worker;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;skilled manual worker;68
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;specialized worker;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;service personnel;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;undisclosed;21
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;undisclosed;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;44
preserving env. is vey important;scientific discoveries make life much better;judiciary is very good;no;female;primary school;middle manager;65
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;high school;middle manager;42
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;other unskilled employee;60
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;middle manager;76
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;foreman;72
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;none;skilled manual worker;65
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;craftsman;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;senior manager;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;senior manager;46
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;41
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;university;senior manager;37
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;middle manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;middle manager;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;other skilled employee;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other unskilled employee;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;middle school;other unskilled employee;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;commerce worker;55
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;specialized worker;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;skilled manual worker;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;22
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;skilled manual worker;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;52
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;service personnel;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;service personnel;25
preserving env. is low;scientific discoveries make life much better;judiciary is pretty good;yes;male;university;undisclosed;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;university;undisclosed;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;undisclosed;42
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;undisclosed;49
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;undisclosed;55
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;73
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;service personnel;72
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;commerce worker;70
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;73
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;bachelor;employer in industry and commerce;35
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;senior manager;43
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;senior manager;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;other;middle manager;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;middle manager;37
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;middle manager;35
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;high school;other unskilled employee;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;bachelor;service personnel;19
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;high school;commerce worker;23
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;high school;commerce worker;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;skilled manual worker;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;45
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;specialized worker;24
preserving env. is low;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;specialized worker;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no opinion;female;primary school;specialized worker;58
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;38
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;service personnel;54
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;none;service personnel;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;undisclosed;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;other;undisclosed;21
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;undisclosed;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;undisclosed;25
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;middle manager;72
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;unskilled worker;66
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;university;senior manager;66
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;female;primary school;service personnel;72
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;tradesman;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;female;university;liberal profession;33
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;female;university;liberal profession;69
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;senior manager;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;middle manager;52
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;middle manager;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;middle school;middle manager;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;middle manager;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;commerce worker;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;other skilled employee;38
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;other skilled employee;62
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;40
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no;male;none;unskilled worker;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;55
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;specialized worker;39
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;skilled manual worker;44
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;service personnel;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;undisclosed;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;undisclosed;23
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;other unskilled employee;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;bachelor;middle manager;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;specialized worker;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;bachelor;senior manager;41
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;middle manager;70
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;high school;middle manager;65
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;service personnel;70
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;liberal profession;82
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;tradesman;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;senior manager;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;university;senior manager;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;middle manager;53
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;middle manager;24
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;middle manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;other active worker;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;other unskilled employee;47
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;high school;other skilled employee;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;bachelor;other skilled employee;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;no opinion;female;university;other skilled employee;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;male;none;specialized worker;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;skilled manual worker;54
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;44
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;none;skilled manual worker;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;male;middle school;other unskilled employee;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;middle school;employer in industry and commerce;57
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;service personnel;42
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;yes;female;university;undisclosed;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;university;undisclosed;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;undisclosed;80
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;yes;female;other;liberal profession;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;undisclosed;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;university;undisclosed;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other unskilled employee;75
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;no opinion;male;none;specialized worker;61
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;male;none;specialized worker;65
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;none;craftsman;33
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;no opinion;female;university;senior manager;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;female;bachelor;liberal profession;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;middle manager;31
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;yes;female;university;middle manager;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;middle manager;58
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;university;middle manager;37
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;university;other skilled employee;29
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;commerce worker;55
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;other unskilled employee;29
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;yes;female;middle school;other skilled employee;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;middle manager;38
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;skilled manual worker;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is very good;no;male;middle school;skilled manual worker;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;none;skilled manual worker;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no opinion;male;primary school;service personnel;39
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;undisclosed;26
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;undisclosed;57
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;service personnel;29
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;other skilled employee;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;middle manager;39
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;73
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;76
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;service personnel;69
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;craftsman;42
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;craftsman;55
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;craftsman;62
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;senior manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;male;university;other active worker;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;middle manager;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;middle manager;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;commerce worker;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;commerce worker;23
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;middle school;other unskilled employee;52
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;commerce worker;33
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;service personnel;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;64
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;undisclosed;50
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;other unskilled employee;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;middle manager;68
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;middle school;craftsman;47
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;middle school;tradesman;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;senior manager;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;middle manager;24
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;middle manager;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;high school;middle manager;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;other unskilled employee;27
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;primary school;other skilled employee;22
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no;female;none;commerce worker;45
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;35
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;53
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;middle school;skilled manual worker;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;52
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;middle school;unskilled worker;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;foreman;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;specialized worker;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;service personnel;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;undisclosed;18
preserving env. is quite important;scientific discoveries make life much better;judiciary: not want to answer;no opinion;female;middle school;commerce worker;33
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;university;senior manager;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;bachelor;other skilled employee;31
preserving env. is vey important;scientific discoveries do not make life better;judiciary: not want to answer;yes;female;bachelor;undisclosed;52
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;middle manager;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;none;undisclosed;67
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;66
preserving env. is low;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;none;tradesman;72
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;tradesman;47
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very good;no;female;university;senior manager;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;middle manager;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;middle manager;26
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;middle manager;31
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;yes;male;middle school;skilled manual worker;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;commerce worker;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;middle school;commerce worker;25
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;no;male;middle school;other skilled employee;47
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;other unskilled employee;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;other skilled employee;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other unskilled employee;57
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;skilled manual worker;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;specialized worker;29
